Transaction,Type,Currency,Amount,Details,Outstanding Loan,Date / Time
NXT7B0uhAp897,Interest,NEXONEXO,0.01902919,approved / 0.0000263 ETH,$0.00,2021-02-28 01:00:02
NXTR5kwlXviUZ,Interest,NEXONEXO,0.01113090,approved / 0.00000048 BTC,$0.00,2021-02-28 01:00:02
NXT2gz6NetHg1,Interest,NEXONEXO,0.01899647,approved / 0.0000263 ETH,$0.00,2021-02-27 01:00:02
NXTE49IpyVGaF,Interest,NEXONEXO,0.01124994,approved / 0.00000048 BTC,$0.00,2021-02-27 01:00:02
NXTRqEaY2Ia3P,Interest,NEXONEXO,0.01969923,approved / 0.0000263 ETH,$0.00,2021-02-26 01:00:02
NXTlFirrcdeSc,Interest,NEXONEXO,0.01163421,approved / 0.00000048 BTC,$0.00,2021-02-26 01:00:02
NXTlqdpedpwwN,Interest,NEXONEXO,0.02045452,approved / 0.0000263 ETH,$0.00,2021-02-25 01:00:02
NXTitg1QVuTs2,Interest,NEXONEXO,0.01155687,approved / 0.00000048 BTC,$0.00,2021-02-25 01:00:02
NXTldOw99ePBt,Interest,NEXONEXO,0.01165461,approved / 0.00000048 BTC,$0.00,2021-02-24 01:00:02
NXTugEWVzuWZM,Interest,NEXONEXO,0.02026939,approved / 0.0000263 ETH,$0.00,2021-02-24 01:00:02
NXThH6L98eGTc,Interest,NEXONEXO,0.01130191,approved / 0.00000048 BTC,$0.00,2021-02-23 01:00:03
NXTjukYIwHvmA,Interest,NEXONEXO,0.02009850,approved / 0.0000263 ETH,$0.00,2021-02-23 01:00:03
NXTlHRYurdXyc,ExchangeSell,USDC,0.00221800,approved / Exchange USD Coin to Bitcoin,$0.00,2021-02-22 17:27:39
NXTKEFMU65Qzi,Interest,NEXONEXO,0.02137606,approved / 0.0000263 ETH,$0.00,2021-02-22 01:00:02
NXTUy0YhIBAuj,Deposit,USDC,119.79451600,approved / 0x430d26cc199c3a73a1cb9e5371003caf5fd6d4a2be90bad6a495fc1606d63918,$0.00,2021-02-21 09:29:43
NXTgbfd8ewUYW,Withdrawal,ETH,-0.04113931,approved / ETH withdrawal,$0.00,2021-02-21 08:55:49
NXTsmSlAvB7Ya,Interest,NEXONEXO,0.02854176,approved / 0.00003531 ETH,$0.00,2021-02-21 01:00:02
